excluir,Tipo,NombreEvento,Título,Organizador,Alcance,InstituciónSede,Direccion,Año,FechaInicio,FechaFin,Autores,Financiamento,Proyecto,Etapa,Prioridad,URL,Imagen
x,ponencia,5to Workshop de Modelamiento Matemático de Sistemas Biológicos,"Redes Booleanas en el Sistema Inmune: heterogeneidad, plasticidad y ambiente","Universidad Tecnológica Metropolitana, Santiago, Chile",Internacional,Universidad Tecnológica Metropolitana,"Santiago, Chile",2022,2022/01/19,2022/01/21,Mariana Esther Martínez Sánchez,,,,,2022_platica_Chile_WMMSB.pdf,
x,ponencia,Semana Académica Virtual de Sistemas e Informática 2021,Ciencia de datos en el Gobierno: Toma de decisiones basada en la evidencia,TecNM-Campus Istmo,Nacional,Instituto Tecnológico del Istmo,Online,2021,2021/11/25,2021/11/25,Mariana Esther Martínez Sánchez,,,,,2021_platica_TecNMIstmo_DatosGobierno.pdf,
,Coordinador,XXII EOBM XVI ENBM,XXII EOBM XVI ENBM,"IIMAS, INER, CINVESTAV, etc.",Nacional,IIMAS - UNAM,Online,2021,2021/10/04,2021/10/08,Mariana Esther Martínez Sánchez,,,,,2021_organizadora_online_EOBM.png,
,Coordinador,Hackathon RIIAA 2021 “JusticIA para los desaparecidos”,Hackathon RIIAA 2021 “JusticIA para los desaparecidos”,"RIIAA, CNB, CIMAT",Nacional,"RIIAA, CNB, CIMAT",Online,2021,2021/08/24,2021/08/21,Mariana Esther Martínez Sánchez,,,,,2021_organizadora_online_HackatonJusticIA.pdf,
,Coordinador,WiDS Ciudad de México,WiDS Ciudad de México,Pyladies CDMX y Women in Data Sience,Internacional,WiDS Ciudad de México,Online,2021,2021/06/26,2021/06/26,Mariana Esther Martínez Sánchez,,,,,2021_organizadora_CdMx_WIDS.png,
,Taller,,Microscipios en la Sierra de Guadalupe,,,Solstitium,,2026,2026/06/16,2026/06/16,,,,,,2026_taller_EdoMex_SolstitumVeredeando.pdf,
,Entrevista,,Doctora Mariana Martínez: “La riqueza de la divulgación está en lo que construimos en conjunto”,,,UNAM - Facultad de Medicina,,2026,2026/03/12,2026/03/12,,,,,,,
,Taller,,Microscipios en la Sierra de Guadalupe,,,Solstitium,,2025,2025/06/27,2025/06/27,,,,,,2025_taller__EdoMex_SolstitumVeredeando.pdf,
x,Internet,,Biomatemáticas,,,,,2021,2021/08/13,2025/03/07,,,,,,2021-2025_internet_biomatematicas.pdf,
,Entrevista,,Mestruación en el espacio,,,UNAM - Subele a la ciencia,,2025,2025/03/03,2025/03/03,,,,,,2025_platica_CCHUNAM_SubeteCiencia.pdf,
x,Entrevista,,Entrevista a Veredeando Sierra de Guadalupe,,,TV Mexiquense,,2025,2025/02/28,2025/02/28,,,,,,2025_tv_EdoMex_DiaConDia_20250228.png,
x,Entrevista,,Entrevista a Veredeando Sierra de Guadalupe,,,TV Mexiquense,,2025,2025/02/19,2025/02/19,,,,,,2025_tv_EdoMex_Capsula_20250219.png,
,Radio,,Radio Veredas,,,Mexiquense Radio, Voces Sociales Mexiquenses,2024,2024/09/02,2024/12/16,,,,,,2024_radio_MexiquenseRadio_RadioVeredas.pdf,
x,Taller,,Microscipios en la Sierra de Guadalupe,,,Solstitium,,2024,2024/07/23,2024/07/23,,,,,,2024_taller_EdoMex_Solstitium_20240723.pdf,
x,Entrevista,,¿Qué genera el género?,,,Secretaría de Cultura del Estado de Querétaro, Centro de las Artes de Querétaro,2022,2022/05/05,2022/05/05,,,,,,2022_platica_Queretaro_Genero.pdf,
x,Entrevista,,Mujeres en el espacio,,,Universidad Interserrana del Estado de Puebla - Ahuacatlán,,2022,2022/05/05,2022/05/05,,,,,,2022_platica_Puebla_NocheEstrellas.pdf,
x,Taller,,"Niñ@ fest ""la magia del barrio""",,,Escuela Viva Coatepe,,2022,2022/01/05,2022/01/05,,,,,,2022_taller_EdoMex_NiñoFestBarrio.jpg,
